Timestamp,Movement,Sensor
62902.052,WBL,0
62902.65,EBL,1
62904.363,EBT,1
62905.459,EBL,0
62905.666,EBL,1
62905.962,EBT,1
62908.563,EBL,1
62909.27,WBL,0
62909.77,EBL,1
62912.571,WBL,0
62914.273,EBT,1
62916.479,EBL,1
62918.777,NBR,0
62924.78,EBL,1
62924.876,NBR,0
62929.085,NBT,0
62929.989,NBT,1
62930.181,WBL,0
62930.68,NBT,0
62931.587,NBT,0
62932.979,NBT,0
62933.092,NBT,1
62933.781,NBT,0
62935.193,NBT,1
62935.394,NBT,0
62935.597,NBT,0
62936.59,NBT,1
62937.1,NBT,0
62937.486,NBT,1
62937.893,NBT,0
62938.891,NBT,0
62940.493,NBT,1
62941.404,NBT,0
62941.892,WBL,0
62942.204,NBT,1
62942.508,NBT,0
62943.406,NBT,0
62944.207,EBL,1
62944.296,NBT,1
62944.693,NBT,0
62944.693,NBT,0
62946.213,NBT,1
62946.507,NBT,0
62947.503,NBT,0
62949.105,NBT,0
62950.812,NBR,0
62954.521,WBL,0
62957.524,WBL,0
62965.232,WBL,0
62967.121,WBR,0
62968.137,WBL,0
62969.738,WBR,0
62972.441,EBL,0
62975.137,EBL,0
62975.543,EBL,1
62977.45,EBL,0
62977.845,EBL,1
62979.847,EBL,1
62980.539,EBL,1
62981.948,EBL,1
62983.147,EBT,1
62983.365,EBL,1
62985.347,EBL,1
62985.47,EBT,1
62986.654,EBL,1
62988.863,EBT,1
62990.958,EBT,1
62993.461,EBT,1
62994.362,EBL,1
62995.47,EBT,1
62997.961,EBL,1
62998.066,EBT,1
62999.458,EBL,1
63000.562,EBT,1
63003.172,EBT,1
63003.464,EBL,1
63004.974,EBT,1
63006.776,EBT,1
63007.165,WBL,0
63008.88,EBT,1
63009.979,EBL,1
63011.379,WBL,0
63012.377,EBL,1
63013.782,EBT,1
63014.582,EBL,1
63015.38,EBT,1
63015.878,EBL,1
63017.586,WBL,0
63017.883,EBT,1
63020.188,EBT,1
63022.895,EBT,1
63024.991,EBT,1
63025.182,WBL,0
63029.799,WBL,0
63031.895,NBR,0
63037.317,NBT,0
63040.216,EBL,0
63040.313,NBT,0
63040.411,EBL,1
63043.412,NBT,1
63043.815,NBT,0
63043.815,NBT,0
63046.121,NBT,1
63046.606,NBT,1
63046.817,NBT,0
63047.013,NBT,0
63048.611,NBT,1
63048.912,EBL,1
63049.019,NBT,0
63049.019,NBT,0
63050.523,EBL,0
63050.818,EBL,1
63051.123,NBT,0
63051.72,NBT,0
63055.128,EBL,1
63059.234,EBL,1
63061.135,EBL,1
63062.135,NBT,0
63063.238,EBL,1
63064.629,NBR,0
63066.428,NBT,0
63067.742,EBR,1
63068.93,NBT,0
63069.932,EBL,0
63070.14,EBL,1
63071.746,EBL,1
63074.951,WBL,0
63077.041,WBL,0
63079.751,WBL,0
63081.448,WBR,0
63081.754,WBL,0
63083.157,WBR,0
63084.079,WBL,0
63085.457,WBR,0
63086.557,WBL,0
63087.461,WBR,0
63088.556,NBR,0
63088.96,WBL,0
63090.463,WBL,0
63092.957,WBL,0
63097.869,WBL,0
63099.154,EBL,1
63100.967,EBL,1
63101.267,EBT,1
63104.071,WBL,0
63104.562,EBT,1
63106.268,EBT,1
63107.769,EBT,1
63109.27,EBT,1
63110.775,EBT,1
63113.464,EBT,1
63115.167,EBT,1
63117.77,EBL,1
63117.968,EBT,1
63119.883,EBT,1
63120.066,EBL,1
63122.17,EBL,1
63122.283,EBT,1
63124.673,EBL,0
63125.171,EBL,1
63127.579,WBL,0
63127.676,EBT,1
63128.786,EBL,1
63131.584,EBT,1
63133.981,EBT,1
63136.191,EBL,0
63136.289,EBL,1
63136.685,EBT,1
63138.885,EBL,1
63144.19,NBR,0
63145.397,WBL,0
63148.104,NBR,0
63151.81,NBT,0
63153.5,NBR,0
63154.3,EBR,1
63154.801,NBT,1
63155.514,NBT,0
63155.6,NBT,0
63156.012,NBR,0
63157.014,NBT,0
63157.703,WBL,0
63158.204,NBR,0
63158.512,NBT,1
63158.817,NBT,0
63158.817,NBT,0
63160.218,NBT,1
63160.823,NBT,0
63160.918,NBT,0
63162.114,NBT,0
63162.423,NBT,1
63163.114,NBT,0
63164.02,NBT,0
63164.718,NBT,1
63165.817,NBT,0
63166.618,NBT,0
63166.823,WBL,0
63168.925,NBT,0
63173.42,WBL,0
63177.028,WBL,0
63183.239,WBR,0
63183.837,WBR,0
63184.338,WBL,0
63185.241,WBR,0
63186.639,WBR,0
63187.03,WBL,0
63189.836,WBL,0
63193.046,WBL,0
63195.95,EBL,0
63196.255,EBL,1
63198.153,EBT,1
63199.149,EBL,1
63199.149,EBL,1
63200.852,EBT,1
63202.85,WBL,0
63203.948,EBT,1
63203.948,EBL,1
63206.555,EBT,1
63207.771,EBL,1
63208.666,WBL,0
63209.969,EBT,1
63213.675,EBT,1
63215.272,EBT,1
63215.468,WBL,0
63218.778,EBT,1
63221.368,EBT,1
63222.274,EBL,0
63223.97,EBT,1
63225.982,EBT,1
63228.077,WBL,0
63229.29,EBT,1
63231.291,EBT,1
63233.488,EBL,1
63234.998,EBL,1
63236.497,EBT,1
63240.904,NBR,0
63246.402,WBL,0
63247.21,NBR,0
63249.71,NBR,0
63250.512,NBT,0
63250.613,NBT,0
63252.803,NBT,1
63252.803,NBT,0
63253.202,NBT,0
63254.517,NBT,1
63254.901,NBT,0
63256.015,NBT,1
63256.11,WBL,0
63256.206,NBT,0
63256.416,NBT,0
63257.707,NBT,1
63258.21,NBT,0
63258.21,NBT,0
63259.507,NBT,0
63260.216,NBT,1
